37800000
4651207995D0 # Random seed, 0=generate randomly
#
# Timestamp	Fault	State
# ===============================
# 1800000 s no estado normal (500h)
# +36000 s no estado normal (10h)
1836000			1			1
1980000			1			0
2016000			2			1
2160000			2			0
2196000			3			1
2340000			3			0
2376000			4			1
2520000			4			0
2556000			5			1
2700000			5			0
2736000			6			1
2880000			6			0
2916000			7			1
3060000			7			0
3096000			8			1
3240000			8			0
3276000			9			1
3420000			9			0
3456000			10			1
3600000			10			0
3636000			11			1
3780000			11			0
3816000			12			1
3960000			12			0
3996000			13			1
4140000			13			0
4176000			14			1
4320000			14			0
4356000			15			1
4500000			15			0
4536000			16			1
4680000			16			0
4716000			17			1
4860000			17			0
4896000			18			1
5040000			18			0
5076000			19			1
5220000			19			0
5256000			20			1
5400000			20			0
5436000			1			1
5580000			1			0
5616000			2			1
5760000			2			0
5796000			3			1
5940000			3			0
5976000			4			1
6120000			4			0
6156000			5			1
6300000			5			0
6336000			6			1
6480000			6			0
6516000			7			1
6660000			7			0
6696000			8			1
6840000			8			0
6876000			9			1
7020000			9			0
7056000			10			1
7200000			10			0
7236000			11			1
7380000			11			0
7416000			12			1
7560000			12			0
7596000			13			1
7740000			13			0
7776000			14			1
7920000			14			0
7956000			15			1
8100000			15			0
8136000			16			1
8280000			16			0
8316000			17			1
8460000			17			0
8496000			18			1
8640000			18			0
8676000			19			1
8820000			19			0
8856000			20			1
9000000			20			0
9036000			1			1
9180000			1			0
9216000			2			1
9360000			2			0
9396000			3			1
9540000			3			0
9576000			4			1
9720000			4			0
9756000			5			1
9900000			5			0
9936000			6			1
10080000			6			0
10116000			7			1
10260000			7			0
10296000			8			1
10440000			8			0
10476000			9			1
10620000			9			0
10656000			10			1
10800000			10			0
10836000			11			1
10980000			11			0
11016000			12			1
11160000			12			0
11196000			13			1
11340000			13			0
11376000			14			1
11520000			14			0
11556000			15			1
11700000			15			0
11736000			16			1
11880000			16			0
11916000			17			1
12060000			17			0
12096000			18			1
12240000			18			0
12276000			19			1
12420000			19			0
12456000			20			1
12600000			20			0
12636000			1			1
12780000			1			0
12816000			2			1
12960000			2			0
12996000			3			1
13140000			3			0
13176000			4			1
13320000			4			0
13356000			5			1
13500000			5			0
13536000			6			1
13680000			6			0
13716000			7			1
13860000			7			0
13896000			8			1
14040000			8			0
14076000			9			1
14220000			9			0
14256000			10			1
14400000			10			0
14436000			11			1
14580000			11			0
14616000			12			1
14760000			12			0
14796000			13			1
14940000			13			0
14976000			14			1
15120000			14			0
15156000			15			1
15300000			15			0
15336000			16			1
15480000			16			0
15516000			17			1
15660000			17			0
15696000			18			1
15840000			18			0
15876000			19			1
16020000			19			0
16056000			20			1
16200000			20			0
16236000			1			1
16380000			1			0
16416000			2			1
16560000			2			0
16596000			3			1
16740000			3			0
16776000			4			1
16920000			4			0
16956000			5			1
17100000			5			0
17136000			6			1
17280000			6			0
17316000			7			1
17460000			7			0
17496000			8			1
17640000			8			0
17676000			9			1
17820000			9			0
17856000			10			1
18000000			10			0
18036000			11			1
18180000			11			0
18216000			12			1
18360000			12			0
18396000			13			1
18540000			13			0
18576000			14			1
18720000			14			0
18756000			15			1
18900000			15			0
18936000			16			1
19080000			16			0
19116000			17			1
19260000			17			0
19296000			18			1
19440000			18			0
19476000			19			1
19620000			19			0
19656000			20			1
19800000			20			0
19836000			1			1
19980000			1			0
20016000			2			1
20160000			2			0
20196000			3			1
20340000			3			0
20376000			4			1
20520000			4			0
20556000			5			1
20700000			5			0
20736000			6			1
20880000			6			0
20916000			7			1
21060000			7			0
21096000			8			1
21240000			8			0
21276000			9			1
21420000			9			0
21456000			10			1
21600000			10			0
21636000			11			1
21780000			11			0
21816000			12			1
21960000			12			0
21996000			13			1
22140000			13			0
22176000			14			1
22320000			14			0
22356000			15			1
22500000			15			0
22536000			16			1
22680000			16			0
22716000			17			1
22860000			17			0
22896000			18			1
23040000			18			0
23076000			19			1
23220000			19			0
23256000			20			1
23400000			20			0
23436000			1			1
23580000			1			0
23616000			2			1
23760000			2			0
23796000			3			1
23940000			3			0
23976000			4			1
24120000			4			0
24156000			5			1
24300000			5			0
24336000			6			1
24480000			6			0
24516000			7			1
24660000			7			0
24696000			8			1
24840000			8			0
24876000			9			1
25020000			9			0
25056000			10			1
25200000			10			0
25236000			11			1
25380000			11			0
25416000			12			1
25560000			12			0
25596000			13			1
25740000			13			0
25776000			14			1
25920000			14			0
25956000			15			1
26100000			15			0
26136000			16			1
26280000			16			0
26316000			17			1
26460000			17			0
26496000			18			1
26640000			18			0
26676000			19			1
26820000			19			0
26856000			20			1
27000000			20			0
27036000			1			1
27180000			1			0
27216000			2			1
27360000			2			0
27396000			3			1
27540000			3			0
27576000			4			1
27720000			4			0
27756000			5			1
27900000			5			0
27936000			6			1
28080000			6			0
28116000			7			1
28260000			7			0
28296000			8			1
28440000			8			0
28476000			9			1
28620000			9			0
28656000			10			1
28800000			10			0
28836000			11			1
28980000			11			0
29016000			12			1
29160000			12			0
29196000			13			1
29340000			13			0
29376000			14			1
29520000			14			0
29556000			15			1
29700000			15			0
29736000			16			1
29880000			16			0
29916000			17			1
30060000			17			0
30096000			18			1
30240000			18			0
30276000			19			1
30420000			19			0
30456000			20			1
30600000			20			0
30636000			1			1
30780000			1			0
30816000			2			1
30960000			2			0
30996000			3			1
31140000			3			0
31176000			4			1
31320000			4			0
31356000			5			1
31500000			5			0
31536000			6			1
31680000			6			0
31716000			7			1
31860000			7			0
31896000			8			1
32040000			8			0
32076000			9			1
32220000			9			0
32256000			10			1
32400000			10			0
32436000			11			1
32580000			11			0
32616000			12			1
32760000			12			0
32796000			13			1
32940000			13			0
32976000			14			1
33120000			14			0
33156000			15			1
33300000			15			0
33336000			16			1
33480000			16			0
33516000			17			1
33660000			17			0
33696000			18			1
33840000			18			0
33876000			19			1
34020000			19			0
34056000			20			1
34200000			20			0
34236000			1			1
34380000			1			0
34416000			2			1
34560000			2			0
34596000			3			1
34740000			3			0
34776000			4			1
34920000			4			0
34956000			5			1
35100000			5			0
35136000			6			1
35280000			6			0
35316000			7			1
35460000			7			0
35496000			8			1
35640000			8			0
35676000			9			1
35820000			9			0
35856000			10			1
36000000			10			0
36036000			11			1
36180000			11			0
36216000			12			1
36360000			12			0
36396000			13			1
36540000			13			0
36576000			14			1
36720000			14			0
36756000			15			1
36900000			15			0
36936000			16			1
37080000			16			0
37116000			17			1
37260000			17			0
37296000			18			1
37440000			18			0
37476000			19			1
37620000			19			0
37656000			20			1
